days,shrinkage_strain_micro
4.121094479,-14.98127341
11.26208518,-97.37827715
18.34334988,-149.8127341
31.41961253,-209.7378277
54.48131696,-279.0262172
71.46590018,-299.6254682
84.48243682,-329.588015
99.46246594,-344.5692884
119.448281,-370.7865169
137.3959461,-374.5318352
150.3639554,-380.1498127
164.339841,-391.3857678
178.3007951,-395.1310861
193.258427,-398.8764045
206.2152376,-398.8764045
219.1832469,-404.494382
235.1338236,-406.3670412
248.0981,-410.1123596
277.0017545,-410.1123596
291.9407219,-404.494382
306.8796894,-398.8764045
320.825712,-395.1310861
